Thu Nov  5 19:29:56 2020 Fold 1, Epoch 26, lr: 0.0000215, train loss: 0.00958, valid loss: 0.00317, Acc: 99.9316, AUC: 0.999999.
Thu Nov  5 19:33:11 2020 Fold 1, Epoch 27, lr: 0.0000139, train loss: 0.00873, valid loss: 0.00292, Acc: 99.9316, AUC: 0.999998.
Thu Nov  5 19:36:26 2020 Fold 1, Epoch 28, lr: 0.0000079, train loss: 0.00905, valid loss: 0.00233, Acc: 99.9316, AUC: 0.999999.
Thu Nov  5 19:39:41 2020 Fold 1, Epoch 29, lr: 0.0000035, train loss: 0.00760, valid loss: 0.00253, Acc: 99.9316, AUC: 0.999999.
Thu Nov  5 19:42:55 2020 Fold 1, Epoch 30, lr: 0.0000009, train loss: 0.00822, valid loss: 0.00386, Acc: 99.9316, AUC: 0.999999.
Mon Nov 16 14:39:01 2020 Fold 0, Epoch 1, lr: 0.0000030, train loss: 2.11475, valid loss: 2.08531, Acc: 14.6250, AUC: 0.000000.
Mon Nov 16 14:40:17 2020 Fold 0, Epoch 2, lr: 0.0000300, train loss: 1.89097, valid loss: 1.83231, Acc: 35.0000, AUC: 0.000000.
Mon Nov 16 14:41:33 2020 Fold 0, Epoch 3, lr: 0.0000299, train loss: 1.62020, valid loss: 1.67907, Acc: 43.6250, AUC: 0.000000.
Mon Nov 16 14:44:39 2020 Fold 0, Epoch 1, lr: 0.0000030, train loss: 1.97769, valid loss: 1.86077, Acc: 33.9120, AUC: 0.000000.
Mon Nov 16 14:47:17 2020 Fold 0, Epoch 2, lr: 0.0000300, train loss: 1.27774, valid loss: 0.85277, Acc: 70.7176, AUC: 0.000000.
Mon Nov 16 14:49:54 2020 Fold 0, Epoch 3, lr: 0.0000299, train loss: 0.76455, valid loss: 0.62049, Acc: 78.4722, AUC: 0.000000.
Mon Nov 16 14:52:36 2020 Fold 0, Epoch 4, lr: 0.0000296, train loss: 0.58601, valid loss: 0.57353, Acc: 78.9352, AUC: 0.000000.
Mon Nov 16 14:55:16 2020 Fold 0, Epoch 5, lr: 0.0000292, train loss: 0.47475, valid loss: 0.52493, Acc: 80.9028, AUC: 0.000000.
Mon Nov 16 14:57:56 2020 Fold 0, Epoch 6, lr: 0.0000286, train loss: 0.40132, valid loss: 0.51923, Acc: 79.2245, AUC: 0.000000.
Mon Nov 16 15:00:35 2020 Fold 0, Epoch 7, lr: 0.0000279, train loss: 0.34528, valid loss: 0.48750, Acc: 80.3241, AUC: 0.000000.
